# Start Aug 13 2023 23:18:51 UTC 6mi S of Arnett, OK
# Rabbit1,1
# https://sswa.tv/wxlogs
[f,da,db,dc,ga,go,t,h,p],
[914.6,23,29,11,3602.5569,9945.3691,22.01,86.58,93269.01],
[914.6,23,29,13,3602.5569,9945.3691,22.01,86.34,93292.01],
[914.6,23,29,15,3602.5569,9945.3691,22.03,85.99,93282.53],
[914.6,23,29,17,3602.5569,9945.3691,22.02,85.61,93279.46],
[914.6,23,29,19,3602.5569,9945.3691,22.03,85.90,93285.54],
[914.6,23,29,21,3602.5569,9945.3691,22.03,85.51,93275.36],
[914.6,23,29,23,3602.5569,9945.3691,22.03,85.19,93276.71],
[914.6,23,29,25,3602.5569,9945.3691,22.04,85.23,93266.20],
[914.6,23,29,27,3602.5569,9945.3691,22.02,85.17,93269.92],
[914.6,23,29,29,3602.5569,go,22.04,85.38,93271.26],
[914.6,23,29,31,3602.5569,9945.3691,22.04,84.99,93269.21],
[914.6,23,29,33,3602.5569,9945.3691,22.06,84.86,93271.91],
[914.6,23,29,35,3602.5569,9945.3691,22.06,84.85,93262.75],
[914.6,23,29,37,3602.5569,9945.3691,22.06,85.04,93248.53],
[914.6,23,29,39,3602.5569,9945.3691,22.06,85.95,p],
[914.6,23,29,41,3602.5569,9945.3691,22.04,86.45,93232.58],
[914.6,23,29,43,3602.5569,9945.3691,22.06,86.51,p],
[914.6,23,29,45,3602.5569,go,22.06,86.25,93216.32],
[914.6,23,29,47,3602.5569,9945.3691,22.06,86.24,93213.95],
[914.6,23,29,49,3602.5569,9945.3691,22.07,86.43,93215.62],
[914.6,23,29,51,3602.5569,go,22.06,86.87,93213.25],
[914.6,23,29,53,3602.5569,9945.3691,22.05,87.26,93209.85],
[914.6,23,29,55,3602.5569,9945.3691,22.06,87.56,93225.42],
[914.6,23,29,57,3602.5569,9945.3691,22.03,87.76,93218.63],
[914.6,23,29,59,3602.5569,9945.3691,22.00,88.02,93227.08],
[914.6,23,30,1,3602.5569,9945.3691,21.99,88.20,93221.00],
[914.6,23,30,3,3602.5569,9945.3691,21.71,89.41,93223.37],
[914.6,23,30,5,3602.5569,9945.3691,21.75,89.25,93220.30],
[914.6,23,30,7,3602.5569,9945.3691,21.74,89.36,93220.62],
[914.6,23,30,9,3602.5569,9945.3691,t,89.66,93221.64],
[914.6,23,30,11,3602.5569,9945.3691,t,89.96,93208.77],
[914.6,23,30,13,3602.5569,9945.3691,21.71,89.87,93218.57],
[914.6,23,30,15,3602.5569,9945.3691,21.67,90.28,93208.07],
[914.6,23,30,17,3602.5569,9945.3691,21.69,90.83,93207.05],
[914.6,23,30,19,3602.5569,9945.3691,21.68,91.48,93212.11],
[914.6,23,30,21,3602.5569,9945.3691,21.66,91.89,93201.61],
[914.6,23,30,23,3602.5569,9945.3691,21.68,92.79,93206.02],
[914.6,23,30,25,3602.5569,9945.3691,21.67,93.61,93209.74],
[914.6,23,30,27,3602.5569,9945.3691,21.66,93.99,93206.67],
[914.6,23,30,29,3602.5569,9945.3691,21.66,94.44,93200.90],
[914.6,23,30,31,3602.5569,9945.3691,21.66,94.12,93194.82],
[914.6,23,30,33,3602.5569,9945.3691,21.64,94.58,93197.83],
[914.6,23,30,35,3602.5569,9945.3691,21.66,95.02,93191.43],
[914.6,23,30,37,3602.5569,9945.3691,21.67,95.31,93204.62],
[914.6,23,30,39,3602.5569,9945.3691,21.64,95.19,93188.36],
[914.6,23,30,41,3602.5569,9945.3691,21.65,95.27,93190.73],
[914.6,23,30,43,3602.5569,9945.3691,21.62,95.45,93181.57],
[914.6,23,30,45,3602.5569,9945.3691,21.64,95.54,93179.20],
[914.6,23,30,47,3602.5569,9945.3691,21.61,95.54,93180.22],
[914.6,23,30,49,3602.5569,9945.3691,21.62,95.84,93166.33],
[914.6,23,30,51,3602.5569,9945.3691,21.63,95.52,93181.57],
[914.6,23,30,53,3602.5569,9945.3691,21.60,95.07,93171.39],
[914.6,23,db,55,3602.5569,9945.3691,21.58,94.68,93176.13],
[914.6,23,30,57,3602.5569,9945.3691,21.57,95.33,93169.02],
[914.6,23,30,59,3602.5569,go,21.57,95.91,93170.37],
